№,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
452,Steven Alzate,Brighton,9,410,0,0,0.08+0.08,0.15+0.15,0.02,0.03
453,Marvelous Nakamba,Aston Villa,16,905,0,0,0,0.05+0.05,0,0
454,Brandon Williams,Norwich,26,2120,0,1,0.16+0.16,1.92+0.92,0.01,0.08
455,Luke Cundle,Wolverhampton Wanderers,4,181,0,0,0,0.53+0.53,0,0.27
456,Neco Williams,Liverpool,1,6,0,1,0,0.60-0.40,0,8.94
457,Tyrick Mitchell,Crystal Palace,36,3100,0,2,0.22+0.22,1.91-0.09,0.01,0.06
458,Japhet Tanganga,Tottenham,11,751,0,0,0.45+0.45,0.25+0.25,0.05,0.03
459,William Smallbone,Southampton,4,136,0,0,0.07+0.07,0.05+0.05,0.04,0.03
460,Tariq Lamptey,Brighton,30,1543,0,2,0.99+0.99,2.86+0.86,0.06,0.17
461,Jeremy Ngakia,Watford,16,895,0,0,0.09+0.09,0.86+0.86,0.01,0.09
462,Ki-Jana Hoever,Wolverhampton Wanderers,8,304,0,0,0.03+0.03,0.09+0.09,0.01,0.03
463,Pablo Marí,Arsenal,2,180,0,0,0.03+0.03,0.43+0.43,0.02,0.21
464,Nathan Tella,Southampton,14,831,0,1,0.68+0.68,0.63-0.37,0.07,0.07
465,Cole Palmer,Manchester City,4,123,0,0,0.28+0.28,0.45+0.45,0.21,0.33
466,Lewis Bate,Leeds,3,152,0,0,0.02+0.02,0,0.01,0
467,Luke Thomas,Leicester,22,1915,0,1,0.18+0.18,1.42+0.42,0.01,0.07
468,Ellis Simms,Everton,1,63,0,0,0,0,0,0
469,Illan Meslier,Leeds,38,3396,0,0,0,0,0,0
470,Kalvin Phillips,Leeds,20,1598,0,1,0.77+0.77,1.16+0.16,0.04,0.07
471,Jamie Shackleton,Leeds,14,692,0,0,0.17+0.17,0.01+0.01,0.02,0
472,Fabio Silva,Wolverhampton Wanderers,22,558,0,0,2.74+2.74,0.41+0.41,0.44,0.07
473,Liam Cooper,Leeds,21,1814,0,1,0.28+0.28,0.13-0.87,0.01,0.01
474,Konstantinos Tsimikas,Liverpool,13,866,0,2,0.67+0.67,2.13+0.13,0.07,0.22
475,Liam Delap,Manchester City,1,7,0,0,0,0,0,0
476,Vladimir Coufal,West Ham,28,2211,0,4,0.56+0.56,2.71-1.29,0.02,0.11
477,Robert Sánchez,Brighton,37,3330,0,0,0,0.64+0.64,0,0.02
478,Charlie Cresswell,Leeds,5,130,0,0,0.06+0.06,0,0.04,0
479,Jakub Moder,Brighton,28,1709,0,3,3.10+3.10,2.58-0.42,0.16,0.14
480,Tyler Onyango,Everton,3,23,0,0,0.03+0.03,0,0.12,0
481,Dane Scarlett,Tottenham,1,2,0,0,0,0,0,0
482,Carney Chukwuemeka,Aston Villa,12,266,0,1,0.63+0.63,0.99-0.01,0.21,0.33
483,Shola Shoretire,Manchester United,1,14,0,0,0,0,0,0
484,Jaden Philogene-Bidace,Aston Villa,1,1,0,0,0,0,0,0
485,Jesurun Rak-Sakyi,Crystal Palace,2,80,0,0,0,0,0,0
486,Isaac Price,Everton,1,10,0,0,0.27+0.27,0,2.4,0
487,Crysencio Summerville,Leeds,6,124,0,0,0.32+0.32,0.05+0.05,0.23,0.04
488,Sam Greenwood,Leeds,7,222,0,2,0.23+0.23,0.43-1.57,0.09,0.17
489,Cody Drameh,Leeds,3,122,0,0,0,0.02+0.02,0,0.02
490,Tim Iroegbunam,Aston Villa,3,91,0,0,0.10+0.10,0,0.1,0
491,Hannibal Mejbri,Manchester United,2,68,0,0,0.05+0.05,0,0.06,0
492,David Raya,Brentford,24,2160,0,0,0,0.04+0.04,0,0
493,Frank Onyeka,Brentford,20,1056,0,0,0.77+0.77,0.16+0.16,0.07,0.01
494,Mads Bidstrup,Brentford,4,26,0,0,0,0,0,0
495,Mads Bech Sørensen,Brentford,11,841,0,0,0.07+0.07,0.34+0.34,0.01,0.04
496,Marcus Forss,Brentford,7,183,0,1,0.30+0.30,0.42-0.58,0.15,0.21
497,Charlie Goode,Brentford,6,446,0,0,0.09+0.09,1.04+1.04,0.02,0.21
498,Albert Sambi Lokonga,Arsenal,19,1125,0,0,0.59+0.59,0.84+0.84,0.05,0.07
499,Folarin Balogun,Arsenal,2,69,0,0,0.16+0.16,0,0.21,0
500,Kristoffer Klaesson,Leeds,1,24,0,0,0,0,0,0
501,Taylor Richards,Brighton,2,17,0,0,0.02+0.02,0.01+0.01,0.11,0.04
502,José Sá,Wolverhampton Wanderers,37,3291,0,1,0,0.40-0.60,0,0.01
503,Chem Campbell,Wolverhampton Wanderers,1,9,0,0,0,0,0,0
504,Dimitris Giannoulis,Norwich,18,1170,0,1,0.10+0.10,0.54-0.46,0.01,0.04
505,Christos Tzolis,Norwich,14,321,0,0,0.33+0.33,0.77+0.77,0.09,0.22
506,Bali Mumba,Norwich,1,43,0,0,0,0,0,0
507,Jacob Sørensen,Norwich,10,595,0,0,0.19+0.19,0,0.03,0
508,Cameron Archer,Aston Villa,3,20,0,0,0.03+0.03,0,0.13,0
509,Dominic Thompson,Brentford,2,154,0,0,0.03+0.03,0,0.01,0
510,Finley Stevens,Brentford,1,11,0,0,0,0.03+0.03,0,0.24
511,Liam McCarron,Leeds,1,6,0,0,0,0,0,0
512,Ozan Tufan,Watford,7,341,0,0,0.35+0.35,0.26+0.26,0.09,0.07
513,Stuart McKinstry,Leeds,1,1,0,0,0,0,0,0
514,Lewis Dobbin,Everton,3,29,0,0,0,0,0,0
515,Leo Fuhr Hjelde,Leeds,2,150,0,0,0,0.02+0.02,0,0.01
516,Jeremy Sarmiento,Brighton,5,35,0,0,0,0,0,0
517,Harrison Ashby,West Ham,1,6,0,0,0,0,0,0
518,Tyler Morton,Liverpool,2,68,0,0,0,0,0,0
519,Tariqe Fosu-Henry,Brentford,1,15,0,0,0.05+0.05,0,0.32,0
520,Przemyslaw Placheta,Norwich,12,513,0,0,0.40+0.40,0.59+0.59,0.07,0.1
521,Kaide Gordon,Liverpool,1,7,0,0,0.49+0.49,0,6.31,0
522,James McAtee,Manchester City,2,15,0,0,0.09+0.09,0,0.53,0
523,Sonny Perkins,West Ham,1,1,0,0,0,0,0,0
524,Nathan Young-Coombes,Brentford,1,1,0,0,0,0,0,0
525,Kasey McAteer,Leicester,1,1,0,0,0,0,0,0
526,Lewis Brunt,Leicester,1,22,0,0,0,0,0,0
527,Jonathan Rowe,Norwich,13,179,0,1,0.20+0.20,0.41-0.59,0.1,0.2
528,CJ Egan-Riley,Manchester City,1,1,0,0,0,0,0,0
529,Evan Ferguson,Brighton,1,20,0,0,0,0,0,0
530,Kayky,Manchester City,1,5,0,0,0,0,0,0
531,Edo Kayembe,Watford,13,793,0,0,0.14+0.14,0.42+0.42,0.02,0.05
532,Toti,Wolverhampton Wanderers,4,360,0,0,0.04+0.04,0,0.01,0
533,Chiquinho,Wolverhampton Wanderers,8,191,0,3,0.56+0.56,1.09-1.91,0.26,0.51
534,Josh Dasilva,Brentford,9,242,0,0,0.10+0.10,0.18+0.18,0.04,0.07
535,Daniel Chesters,West Ham,1,1,0,0,0,0,0,0
536,Tony Springett,Norwich,3,138,0,0,0.52+0.52,0.51+0.51,0.34,0.34
537,Alejandro Garnacho,Manchester United,2,11,0,0,0,0,0,0
